set;model;epochs;loss;accuracy;val_loss;val_accuracy
Coffee;resnet;1000;1.4202e-04;1.0000;0.0013;1.0000
Coffee;encoder;20;0.6130;0.8929;0.5911;1.0000
Coffee;encoder;100;0.0703;1.0000;0.0545;1.0000
Coffee;encoder;500;0.0010;1.0000;0.0010;1.0000
Coffee;encoder;1000;3.2944e-04;1.0000;4.5506e-04;1.0000
Computers;inception;20;0.3629;0.8400;0.8136;0.5000
Computers;inception;100;0.0397;0.9960;3.3717;0.4840
Computers;inception;500;6.0363e-04;1.0000;0.9888;0.7440
Computers;inception;1000;2.5321e-04;1.0000;0.9059;0.7880
Computers;cnn;20;0.3937;0.8440;0.8166;0.5000
Computers;cnn;100;0.1695;0.9400;0.6945;0.7000
Computers;cnn;500;0.0307;0.9960;1.2655;0.8200
Computers;cnn;1000;0.0305;0.9920;1.4375;0.8280
Computers;resnet;20;0.2699;0.8920;0.6960;0.5000
Computers;resnet;100;0.0628;0.9720;1.3084;0.7600
Computers;resnet;500;4.3767e-04;1.0000;1.7916;0.8040
Computers;resnet;1000;4.6654e-04;1.0000;1.8126;0.8080
Computers;encoder;20;0.5516;0.8600;0.7084;0.5520
Computers;encoder;100;0.0821;1.0000;0.8915;0.5720
Computers;encoder;500;0.0024;1.0000;1.2672;0.5840
Computers;encoder;1000;3.5806e-04;1.0000;1.4731;0.5760
CricketX;inception;20;0.4010;0.9308;1.8846;0.3308
CricketX;inception;100;0.0061;1.0000;3.3443;0.2744
CricketX;inception;500;6.7512e-04;1.0000;0.6013;0.8256
CricketX;inception;1000;4.1144e-04;1.0000;0.5934;0.8333
CricketX;cnn;20;1.1990;0.6846;3.9768;0.0744
CricketX;cnn;100;0.4641;0.9051;1.2098;0.5513
CricketX;cnn;500;0.0652;0.9974;1.0507;0.7077
CricketX;cnn;1000;0.0105;1.0000;0.7567;0.7769
CricketX;resnet;20;0.5950;0.8513;2.6217;0.0974
CricketX;resnet;100;0.0594;1.0000;1.4270;0.6359
CricketX;resnet;500;0.0030;1.0000;0.7995;0.7692
CricketX;resnet;1000;0.0012;1.0000;0.8234;0.7744
CricketX;encoder;20;1.9106;0.6487;2.1573;0.4462
CricketX;encoder;100;0.2782;0.9923;1.3758;0.5897
CricketX;encoder;500;0.0062;1.0000;1.3721;0.6205
CricketX;encoder;1000;4.8792e-04;1.0000;1.5231;0.6154
CricketY;inception;20;0.4125;0.9026;1.9405;0.3000
CricketY;inception;100;0.0065;1.0000;2.9592;0.2231
CricketY;inception;500;9.6513e-04;1.0000;0.5537;0.8333
CricketY;inception;1000;3.9487e-04;1.0000;0.5492;0.8436
CricketY;cnn;20;1.2523;0.6821;3.1349;0.1564
CricketY;cnn;100;0.5210;0.8718;0.9231;0.6615
CricketY;cnn;500;0.1303;0.9769;2.2677;0.4974
CricketY;cnn;1000;0.0096;0.9974;0.7273;0.7590
CricketY;resnet;20;0.6795;0.8128;2.5501;0.1872
CricketY;resnet;100;0.0924;0.9897;0.9514;0.6821
CricketY;resnet;500;0.0044;1.0000;0.7018;0.8000
CricketY;resnet;1000;0.0063;0.9974;0.6281;0.8026
CricketY;encoder;20;1.9189;0.6923;2.1365;0.4513
CricketY;encoder;100;0.2542;0.9923;1.3028;0.5538
CricketY;encoder;500;0.0055;1.0000;1.2374;0.5795
CricketY;encoder;1000;5.7042e-04;1.0000;1.3495;0.5923
CricketZ;inception;20;0.4937;0.8821;2.2520;0.2667
CricketZ;inception;100;0.0171;1.0000;3.7628;0.3462
CricketZ;inception;500;4.1418e-04;1.0000;0.4998;0.8436
CricketZ;inception;1000;4.4731e-04;1.0000;0.4877;0.8538
CricketZ;cnn;20;1.2697;0.6590;3.6905;0.1154
CricketZ;cnn;100;0.5472;0.8897;0.9152;0.7077
CricketZ;cnn;500;0.1304;0.9692;1.5187;0.5872
CricketZ;cnn;1000;0.0109;1.0000;0.5784;0.7795
CricketZ;resnet;20;0.6799;0.8333;2.6905;0.0897
CricketZ;resnet;100;0.1771;0.9462;1.2753;0.6436
CricketZ;resnet;500;0.0065;0.9974;0.8132;0.7897
CricketZ;resnet;1000;0.0023;1.0000;0.7200;0.7949
CricketZ;encoder;20;1.9373;0.6282;2.2003;0.3590
CricketZ;encoder;100;0.3060;0.9692;1.4052;0.5462
CricketZ;encoder;500;0.0072;1.0000;1.3529;0.5974
CricketZ;encoder;1000;6.3438e-04;1.0000;1.4552;0.6154
DiatomSizeReduction;inception;20;0.5179;0.8750;6.7814;0.2843
DiatomSizeReduction;inception;100;0.0367;1.0000;4.6665;0.3007
DiatomSizeReduction;inception;500;0.0016;1.0000;0.9466;0.7484
