classifier_name,dataset_name,accuracy
Encoder_100_none,FordB,0.798765432098765
Encoder_100_all,FordB,0.761728395061728
Inception_100_none,FordB,0.855555555555556
Inception_100_all,FordB,0.819753086419753
Cnn_1000_none,FordB,0.790123456790123
Cnn_1000_all,FordB,0.77283950617284
Resnet_1000_none,FordB,0.809876543209877
Resnet_1000_all,FordB,0.814814814814815
Encoder_1000_none,FordB,0.801234567901235
Encoder_1000_all,FordB,0.760493827160494
Inception_1000_none,FordB,0.855555555555556
Inception_1000_all,FordB,0.812345679012346
Cnn_100_none,GunPoint,0.98
cnn_100_all,GunPoint,0.953333333333333
Resnet_100_none,GunPoint,1
Resnet_100_all,GunPoint,0.98
Encoder_100_none,GunPoint,0.98
Encoder_100_all,GunPoint,0.953333333333333
Inception_100_none,GunPoint,0.56
Inception_100_all,GunPoint,0.893333333333333
Cnn_1000_none,GunPoint,1
Cnn_1000_all,GunPoint,0.973333333333333
Resnet_1000_none,GunPoint,1
Resnet_1000_all,GunPoint,0.993333333333333
Encoder_1000_none,GunPoint,0.98
Encoder_1000_all,GunPoint,0.96
Inception_1000_none,GunPoint,0.986666666666667
Inception_1000_all,GunPoint,0.986666666666667
Cnn_100_none,Ham,0.542857142857143
cnn_100_all,Ham,0.638095238095238
Resnet_100_none,Ham,0.771428571428571
Resnet_100_all,Ham,0.638095238095238
Encoder_100_none,Ham,0.685714285714286
Encoder_100_all,Ham,0.685714285714286
Inception_100_none,Ham,0.771428571428571
Inception_100_all,Ham,0.742857142857143
Cnn_1000_none,Ham,0.761904761904762
Cnn_1000_all,Ham,0.657142857142857
Resnet_1000_none,Ham,0.838095238095238
Resnet_1000_all,Ham,0.695238095238095
Encoder_1000_none,Ham,0.723809523809524
Encoder_1000_all,Ham,0.695238095238095
Inception_1000_none,Ham,0.695238095238095
Inception_1000_all,Ham,0.780952380952381
Cnn_100_none,HandOutlines,0.572972972972973
cnn_100_all,HandOutlines,0.667567567567567
Resnet_100_none,HandOutlines,0.883783783783784
Resnet_100_all,HandOutlines,0.675675675675676
Encoder_100_none,HandOutlines,0.883783783783784
Encoder_100_all,HandOutlines,0.891891891891892
Inception_100_none,HandOutlines,0.686486486486486
Inception_100_all,HandOutlines,0.645945945945946
Cnn_1000_none,HandOutlines,0.743243243243243
Cnn_1000_all,HandOutlines,0.713513513513514
Resnet_1000_none,HandOutlines,0.932432432432432
Resnet_1000_all,HandOutlines,0.694594594594595
Encoder_1000_none,HandOutlines,0.9
Encoder_1000_all,HandOutlines,0.883783783783784
Inception_1000_none,HandOutlines,0.945945945945946
Inception_1000_all,HandOutlines,0.710810810810811
Cnn_100_none,Haptics,0.25974025974026
cnn_100_all,Haptics,0.344155844155844
Resnet_100_none,Haptics,0.519480519480519
Resnet_100_all,Haptics,0.363636363636364
Encoder_100_none,Haptics,0.399350649350649
Encoder_100_all,Haptics,0.467532467532467
Inception_100_none,Haptics,0.441558441558442
Inception_100_all,Haptics,0.314935064935065
Cnn_1000_none,Haptics,0.487012987012987
Cnn_1000_all,Haptics,0.428571428571429
Resnet_1000_none,Haptics,0.548701298701299
Resnet_1000_all,Haptics,0.409090909090909
Encoder_1000_none,Haptics,0.402597402597403
Encoder_1000_all,Haptics,0.457792207792208
Inception_1000_none,Haptics,0.538961038961039
Inception_1000_all,Haptics,0.412337662337662
Cnn_100_none,Herring,0.40625
cnn_100_all,Herring,0.640625
Resnet_100_none,Herring,0.640625
Resnet_100_all,Herring,0.6875
Encoder_100_none,Herring,0.546875
Encoder_100_all,Herring,0.53125
Inception_100_none,Herring,0.546875
Inception_100_all,Herring,0.625
Cnn_1000_none,Herring,0.625
Cnn_1000_all,Herring,0.65625
Resnet_1000_none,Herring,0.671875
Resnet_1000_all,Herring,0.671875
Encoder_1000_none,Herring,0.53125
Encoder_1000_all,Herring,0.515625
Inception_1000_none,Herring,0.734375
Inception_1000_all,Herring,0.703125
Cnn_100_none,InlineSkate,0.167272727272727
cnn_100_all,InlineSkate,0.270909090909091
Resnet_100_none,InlineSkate,0.323636363636364
Resnet_100_all,InlineSkate,0.298181818181818
Encoder_100_none,InlineSkate,0.258181818181818
Encoder_100_all,InlineSkate,0.218181818181818
Inception_100_none,InlineSkate,0.174545454545455
Inception_100_all,InlineSkate,0.236363636363636
Cnn_1000_none,InlineSkate,0.34
Cnn_1000_all,InlineSkate,0.316363636363636
Resnet_1000_none,InlineSkate,0.372727272727273
Resnet_1000_all,InlineSkate,0.334545454545455
Encoder_1000_none,InlineSkate,0.265454545454545
Encoder_1000_all,InlineSkate,0.241818181818182
Inception_1000_none,InlineSkate,0.474545454545455
Inception_1000_all,InlineSkate,0.316363636363636
Cnn_100_none,InsectWingbeatSound,0.369191919191919
cnn_100_all,InsectWingbeatSound,0.284848484848485
Resnet_100_none,InsectWingbeatSound,0.479292929292929
Resnet_100_all,InsectWingbeatSound,0.342929292929293
Encoder_100_none,InsectWingbeatSound,0.628787878787879
Encoder_100_all,InsectWingbeatSound,0.622222222222222
Inception_100_none,InsectWingbeatSound,0.597474747474748
Inception_100_all,InsectWingbeatSound,0.492929292929293
Cnn_1000_none,InsectWingbeatSound,0.390909090909091
Cnn_1000_all,InsectWingbeatSound,0.351515151515151
Resnet_1000_none,InsectWingbeatSound,0.473737373737374
Resnet_1000_all,InsectWingbeatSound,0.423232323232323
Encoder_1000_none,InsectWingbeatSound,0.643434343434343
Encoder_1000_all,InsectWingbeatSound,0.617676767676768
Inception_1000_none,InsectWingbeatSound,0.623737373737374
Inception_1000_all,InsectWingbeatSound,0.586868686868687
Cnn_100_none,ItalyPowerDemand,0.963070942662779
cnn_100_all,ItalyPowerDemand,0.895043731778426
Resnet_100_none,ItalyPowerDemand,0.962099125364431
Resnet_100_all,ItalyPowerDemand,0.93488824101069
Encoder_100_none,ItalyPowerDemand,0.955296404275996
Encoder_100_all,ItalyPowerDemand,0.965986394557823
Inception_100_none,ItalyPowerDemand,0.966958211856171
