model;pre_trained_set;training_set;num_frozen_layers;epochs;accuracy
RESNET;SonyAIBORobotSurface2;TwoPatterns;0;100;1.0
RESNET;SonyAIBORobotSurface2;TwoPatterns;37;100;0.83025
ENCODER;SonyAIBORobotSurface2;TwoPatterns;0;100;0.9995
ENCODER;SonyAIBORobotSurface2;TwoPatterns;22;100;0.89525
INCEPTION;SonyAIBORobotSurface2;TwoPatterns;0;100;1.0
INCEPTION;SonyAIBORobotSurface2;TwoPatterns;63;100;0.741
CNN;SonyAIBORobotSurface2;TwoPatterns;0;1000;0.8745
CNN;SonyAIBORobotSurface2;TwoPatterns;11;1000;0.81475
RESNET;SonyAIBORobotSurface2;TwoPatterns;0;1000;1.0
RESNET;SonyAIBORobotSurface2;TwoPatterns;37;1000;0.87275
ENCODER;SonyAIBORobotSurface2;TwoPatterns;0;1000;1.0
ENCODER;SonyAIBORobotSurface2;TwoPatterns;22;1000;0.93175
INCEPTION;SonyAIBORobotSurface2;TwoPatterns;0;1000;1.0
INCEPTION;SonyAIBORobotSurface2;TwoPatterns;63;1000;0.97875
CNN;Worms;UWaveGestureLibraryAll;0;100;0.5603015075376885
CNN;Worms;UWaveGestureLibraryAll;11;100;0.5150753768844221
RESNET;Worms;UWaveGestureLibraryAll;0;100;0.8626465661641541
RESNET;Worms;UWaveGestureLibraryAll;37;100;0.5681183696259073
ENCODER;Worms;UWaveGestureLibraryAll;0;100;0.9595198213288666
ENCODER;Worms;UWaveGestureLibraryAll;22;100;0.894751535455053
