model;pre_trained_set;training_set;num_frozen_layers;epochs;accuracy
ENCODER;ShapesAll;DiatomSizeReduction;0;1000;0.9738562091503268
ENCODER;ShapesAll;DiatomSizeReduction;22;1000;0.9607843137254902
INCEPTION;ShapesAll;DiatomSizeReduction;0;1000;0.9313725490196079
INCEPTION;ShapesAll;DiatomSizeReduction;63;1000;0.8594771241830066
CNN;DistalPhalanxTW;DistalPhalanxOutlineAgeGroup;0;100;0.7194244604316546
CNN;DistalPhalanxTW;DistalPhalanxOutlineAgeGroup;11;100;0.7913669064748201
RESNET;DistalPhalanxTW;DistalPhalanxOutlineAgeGroup;0;100;0.7697841726618705
RESNET;DistalPhalanxTW;DistalPhalanxOutlineAgeGroup;37;100;0.7841726618705036
ENCODER;DistalPhalanxTW;DistalPhalanxOutlineAgeGroup;0;100;0.7338129496402878
ENCODER;DistalPhalanxTW;DistalPhalanxOutlineAgeGroup;22;100;0.7985611510791367
INCEPTION;DistalPhalanxTW;DistalPhalanxOutlineAgeGroup;0;100;0.6618705035971223
INCEPTION;DistalPhalanxTW;DistalPhalanxOutlineAgeGroup;63;100;0.7553956834532374
CNN;DistalPhalanxTW;DistalPhalanxOutlineAgeGroup;0;1000;0.7122302158273381
CNN;DistalPhalanxTW;DistalPhalanxOutlineAgeGroup;11;1000;0.7913669064748201
RESNET;DistalPhalanxTW;DistalPhalanxOutlineAgeGroup;0;1000;0.7553956834532374
RESNET;DistalPhalanxTW;DistalPhalanxOutlineAgeGroup;37;1000;0.762589928057554
ENCODER;DistalPhalanxTW;DistalPhalanxOutlineAgeGroup;0;1000;0.762589928057554
ENCODER;DistalPhalanxTW;DistalPhalanxOutlineAgeGroup;22;1000;0.7985611510791367
INCEPTION;DistalPhalanxTW;DistalPhalanxOutlineAgeGroup;0;1000;0.7194244604316546
INCEPTION;DistalPhalanxTW;DistalPhalanxOutlineAgeGroup;63;1000;0.7769784172661871
CNN;DistalPhalanxOutlineAgeGroup;DistalPhalanxOutlineCorrect;0;100;0.7427536231884058
CNN;DistalPhalanxOutlineAgeGroup;DistalPhalanxOutlineCorrect;11;100;0.7028985507246377
RESNET;DistalPhalanxOutlineAgeGroup;DistalPhalanxOutlineCorrect;0;100;0.7608695652173914
RESNET;DistalPhalanxOutlineAgeGroup;DistalPhalanxOutlineCorrect;37;100;0.7355072463768116
ENCODER;DistalPhalanxOutlineAgeGroup;DistalPhalanxOutlineCorrect;0;100;0.782608695652174
ENCODER;DistalPhalanxOutlineAgeGroup;DistalPhalanxOutlineCorrect;22;100;0.7463768115942029
INCEPTION;DistalPhalanxOutlineAgeGroup;DistalPhalanxOutlineCorrect;0;100;0.7753623188405797
INCEPTION;DistalPhalanxOutlineAgeGroup;DistalPhalanxOutlineCorrect;63;100;0.6630434782608695
CNN;DistalPhalanxOutlineAgeGroup;DistalPhalanxOutlineCorrect;0;1000;0.7644927536231884
CNN;DistalPhalanxOutlineAgeGroup;DistalPhalanxOutlineCorrect;11;1000;0.7934782608695652
RESNET;DistalPhalanxOutlineAgeGroup;DistalPhalanxOutlineCorrect;0;1000;0.7463768115942029
RESNET;DistalPhalanxOutlineAgeGroup;DistalPhalanxOutlineCorrect;37;1000;0.7536231884057971
ENCODER;DistalPhalanxOutlineAgeGroup;DistalPhalanxOutlineCorrect;0;1000;0.7753623188405797
ENCODER;DistalPhalanxOutlineAgeGroup;DistalPhalanxOutlineCorrect;22;1000;0.7789855072463768
INCEPTION;DistalPhalanxOutlineAgeGroup;DistalPhalanxOutlineCorrect;0;1000;0.7572463768115942
INCEPTION;DistalPhalanxOutlineAgeGroup;DistalPhalanxOutlineCorrect;63;1000;0.7753623188405797
CNN;MiddlePhalanxTW;DistalPhalanxTW;0;100;0.6690647482014388
CNN;MiddlePhalanxTW;DistalPhalanxTW;11;100;0.6330935251798561
RESNET;MiddlePhalanxTW;DistalPhalanxTW;0;100;0.6906474820143885
RESNET;MiddlePhalanxTW;DistalPhalanxTW;37;100;0.6402877697841727
ENCODER;MiddlePhalanxTW;DistalPhalanxTW;0;100;0.6330935251798561
ENCODER;MiddlePhalanxTW;DistalPhalanxTW;22;100;0.6474820143884892
INCEPTION;MiddlePhalanxTW;DistalPhalanxTW;0;100;0.6690647482014388
INCEPTION;MiddlePhalanxTW;DistalPhalanxTW;63;100;0.6330935251798561
CNN;MiddlePhalanxTW;DistalPhalanxTW;0;1000;0.7050359712230215
CNN;MiddlePhalanxTW;DistalPhalanxTW;11;1000;0.6906474820143885
RESNET;MiddlePhalanxTW;DistalPhalanxTW;0;1000;0.697841726618705
RESNET;MiddlePhalanxTW;DistalPhalanxTW;37;1000;0.6330935251798561
